Grid Ref,NPOR Church,Full Name,Post Code,Status,Comp Year
NO116236,Kinnoull Street Congregational,"Perth, Kinnoull Street Congregational",PH1 5EN,Yes+,1899
NJ277491,Rothes Parish,"Rothes, Rothes Parish",AB38 7AP,moved,1899
NJ975477,United Free,"Old Deer, United Free",AB42 5JB,Scrap,1900
NO638428,Inverbrothock Free,"Arbroath, Inverbrothock Free",DD11 4RD,Scrap,1901
NJ882025,St. Devenick Episcopal ,"Bieldside , St. Devenick Episcopal ", AB15 9AP ,Yes,1901
NJ425654,South and West Parish Church ,"Buckie , South and West Parish Church ",,Yes,1901
NJ444656,South Free,"Buckie , South Free",AB56 4DD,Scrap,1901
NJ588402,Drumblade Parish Church,"Drumblade , Drumblade Parish Church", AB54 6ER ,Yes,1901
NT187936,"St. Andrew,","Lochgelly, St. Andrew,",KY5 9QN,moved,1901
NK133462,South United Free,"Peterhead, South United Free",AB42 1TL,Scrap,1901
NJ951051,"St Peter's Episcopal,  Torry","Aberdeen, St Peter's Episcopal,  Torry",AB11 9NE,Scrap,1902
NJ890090,St. Machar   Episcopal,"Bucksburn , St. Machar   Episcopal",,Yes,1902
NJ489445,,"Cairnie, ",AB54 4TR,Yes-,1902
NH552589,Dingwall Roman Catholic,"Dingwall, Dingwall Roman Catholic",,rebuild,1902
NJ347586,Pringle Memorial United Free Church,"Fochabers, Pringle Memorial United Free Church", IV32 7DU ,Scrap,1902
NH671449,St.John the Evangelist Episcopal,"Inverness, St.John the Evangelist Episcopal",IV2 3BG,rebuild,1902
NJ430508,Grange St Ninian's Parish,"Keith, Grange St Ninian's Parish",AB55 6LL,Yes,1903
NO714576,St George's Free,"Montrose, St George's Free",DD10 8EW,Yes-,1902
NK130465,St Andrew's  (Formerly the East Church,"Peterhead, St Andrew's  (Formerly the East Church",AB42 1TY,Yes,1902
NJ664344,St.Thomas' Episcopal,"Rothienorman, St.Thomas' Episcopal",AB52 6UN,Scrap,1902
NJ698518,Forglen House,"Turriff, Forglen House",n/t,Scrap,1902
NJ940065,St Paul's United Free,"Aberdeen, St Paul's United Free",,rebuild,1903
NJ928055,Union Grove Baptist,"Aberdeen, Union Grove Baptist",,rebuild,1903
NY193663,United Reformed or Congregational,"Annan, United Reformed or Congregational",,Yes,1903
NK070366,Cruden Parish,"Cruden, Cruden Parish",AB42 0QB,Yes+,1903
NH703550,St. Ninian's Church,"Davoch, St. Ninian's Church",IV9 8PT,Scrap,1903
NS558667,St.Peter's Episcopal (2nd building),"Glasgow, St.Peter's Episcopal (2nd building)",G11 5BZ,Scrap,1903
NH670447,St.Stephen's Parish,"Inverness, St.Stephen's Parish",IV2 4XA,Yes+,1903
NO862849,Dunnottar Church,"Stonehaven , Dunnottar Church", AB39 3XL ,Yes+,1903
NO706958,Banchory St Ternan Episcopal Church,"Banchory , Banchory St Ternan Episcopal Church", AB31 5YP ,Yes+,1904
NS350380,Congregational,"Dreghorn, Congregational",,Scrap,1904
NK134459,St.Peter's Episcopal,"Peterhead, St.Peter's Episcopal",AB42 1DU,Scrap,1904
NJ923058,Rubislaw,"Aberdeen, Rubislaw",,rebuild,1905
NJ944064,St Andrew's Episcopal Cathedral,"Aberdeen, St Andrew's Episcopal Cathedral",,rebuild,1905
NJ710410,Parish Church ,"Auchterless , Parish Church ",,Yes,1905
NJ939058,Masonic Temple,"Aberdeen, Masonic Temple", AB11 6ET ,Yes-,1906
NO346303,Invergowrie Parish Church,"Invegowrie, Invergowrie Parish Church",,Yes+,1934
NO558345,Erskine UP,"Carnoustie, Erskine UP",,Moved,1906
NO563348,Holyrood,"Carnoustie, Holyrood",DD7 6AB,Scrap,1906
NO394312,High Free,"Dundee, High Free",DD3 6PW,Yes,1906
NJ030580,St. John the Evangelist ,"Forres , St. John the Evangelist ",,rebuild,1906
NO395312,Congregational,"Nairn, Congregational",,rebuild,1906
NJ720500,St.Congan's Episcopal,"Turriff, St.Congan's Episcopal",,Yes,1906
NJ631282,Parish,"Insch, Parish",AB52 6JR,Yes+,1907
NJ679258,Parish,"Oyne, Parish",AB52 6QU,Scrap,1907
NJ218624,South Church ,"Elgin, South Church ",IV30 1QS,Overhaul,1908
NO383009,St John's United Free,"Leven, St John's United Free",KY8 4UE,Yes,1908
NJ444656,Parish,"Rathven, Parish",AB56 4DD,Yes+,1908
NJ942067,St. Margaret of Scotland Episcopal,"Aberdeen, St. Margaret of Scotland Episcopal", AB25 1EA ,Yes,1909
NJ930057,Harlaw Academy,"Aberdeen, Harlaw Academy", AB10 1RG ,Scrap,1909
NO715712,St Laurence Episcopal,"Laurencekirk, St Laurence Episcopal",AB30 1BH,Yes-,1909
NJ729497,St Andrew's United Free,"Turriff, St Andrew's United Free", AB53 4DP,Yes-,1910
NJ939062,St. Nicholas Congregational Ch.,"Aberdeen, St. Nicholas Congregational Ch.", AB10 1GE ,rebuild,1911
NJ931065,St Mark's Mission Episcopal,"Aberdeen, St Mark's Mission Episcopal",,rebuild,1911
NJ639637,Parish,"Boyndie, Parish",AB45 2JT,Scrap,1911
NJ527350,Parish,"Gartly, Huntly, Parish",AB54 4RR,Yes,1911
NO080600,,"Kirkmichael, ", PH10 7NT,Scrap,1911
NJ702644,Macduff Parish Church,"Macduff , Macduff Parish Church", AB44 1UN ,rebuild,1911
NJ611192,Keig Church,"Alford, Keig Church", AB33 8BH,Yes,1912
NJ688641,Banff High United Free,"Banff, Banff High United Free",AB45 1DH,Scrap,1912
NJ998251,Newburgh Holyrood Mission Chapel,"Foveran, Newburgh Holyrood Mission Chapel", AB41 6BE,Yes,1912
NJ631410,Ythanwells Church,"Huntly, Ythanwells Church",AB54 6HD,Yes-,1912
NJ702143,United Free,"Macduff , United Free",,Yes,1912
NJ998666,South Free,"Fraserburgh , South Free",AB43 9BD,Scrap,1914
NO525985,St Machar's,"Aboyne, St Machar's",AB34 5HJ,Yes+,1915
NT185940,St Andrew's,"Lochgelly, St Andrew's",KY5 9QU,Yes,1901
NJ906070,St Clement's Episcopal,"Aberdeen, St Clement's Episcopal",,rebuild,1917
NJ424655,Buckie Baptist,"Buckie , Buckie Baptist",AB56 1JN,Overhaul,1917
NJ423656,Buckie North,"Buckie , Buckie North",AB56 1JN,Yes,1917
NO455214,"St. Athernase,","Leuchars, St. Athernase,",KY16 0HH,Yes,1918
NJ930670,United  Free,"Rosehearty , United  Free",,Yes,1918
NJ932061,Melville Parish Church,"Aberdeen, Melville Parish Church", AB10 1UH ,Scrap,1920
NJ934053,Bethany House,"Aberdeen, Bethany House", AB11 6YD ,Scrap,1920
NJ424655,All Saints' Episcopal,"Buckie , All Saints' Episcopal",,Yes,1920
NJ996670,Fraserburgh Congregational,"Fraserburgh , Fraserburgh Congregational",,Scrap,1920
NJ928054,Nazareth House,"Aberdeen, Nazareth House", AB10 6RA ,Scrap,1921
NJ937051,Ferryhill Parish Church,"Aberdeen, Ferryhill Parish Church", AB11 7SP ,rebuild,1921
NJ889028,Cults United Free,"Cults, Cults United Free",AB15 9TD,Scrap,1926
NS325303,St Ninian Episcopal,"Prestwick, St Ninian Episcopal",KA10 6HZ,Scrap,1926
NJ792162,Parish,"Kintore, Parish",,Yes,1927
NJ424654,West Church ,"Buckie , West Church ",,Scrap,1929
NJ939059,Crown Terrace Baptist,"Aberdeen, Crown Terrace Baptist",AB11 6HE,Yes-,1932
Nj934059,Gilcomston St Colm's ,"Aberdeen, Gilcomston St Colm's ",AB10 1TP,Scrap,1938
NJ960670,Parish Church ,"Sandhaven , Parish Church ",,Yes,1887
NX974764,St John the Evangelist Episcopal,"Dumfries, St John the Evangelist Episcopal",DG1 1LN,Scrap,1895
NS580650,St Kiaran,"Glasgow, St Kiaran",,Moved,1896
